2022/1/28,15:48:3,41.3188661,2.0843356
2022/1/28,15:48:3,41.3188661,2.0843356
2022/1/28,16:38:27,41.3188634,2.084331
2022/1/28,16:53:41,41.3188598,2.08433
2022/1/28,16:54:33,41.3188569,2.0843296
2022/2/4,15:14:30,41.318822,2.0843246
2022/2/4,15:20:44,41.3188476,2.0843179
2022/2/4,15:24:44,41.3188508,2.0843267
2022/2/4,15:30:35,41.3188254,2.0843219
2022/2/4,15:31:11,41.3188525,2.0843478
2022/2/4,15:32:52,41.3188571,2.0843522
2022/2/4,15:46:36,41.3188629,2.0843416
2022/2/4,16:23:2,41.318855,2.0843438
2022/3/4,15:10:48,41.318821,2.08428
2022/3/4,15:10:48,41.318821,2.08428
2022/3/4,15:10:48,41.318821,2.08428
